# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSG00000272351	ENST00000606950	rRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSG00000272435	ENST00000607318	rRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7SK	ENSG00000271814	ENST00000606842	misc_RNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000209873	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000394384	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000546393	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000546572	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547238	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547520	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547757	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000547761	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000548931	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000549983	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000550033	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000550286	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAAS	ENSG00000094914	ENST00000552876	retained_intron	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000406297	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000409068	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000409085	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AAK1	ENSG00000115977	ENST00000495836	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000268251	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000396600	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000561870	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000563215	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000563992	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000564714	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABAT	ENSG00000183044	ENST00000565016	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000566590	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000567812	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000568847	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABAT	ENSG00000183044	ENST00000569695	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABC7-43041300I9.1	ENSG00000271153	ENST00000605759	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA1	ENSG00000165029	ENST00000374733	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA1	ENSG00000165029	ENST00000374736	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA1	ENSG00000165029	ENST00000423487	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA11P	ENSG00000251595	ENST00000451020	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA11P	ENSG00000251595	ENST00000504019	transcribed_processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA11P	ENSG00000251595	ENST00000507854	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA11P	ENSG00000251595	ENST00000514396	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA12	ENSG00000144452	ENST00000272895	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA12	ENSG00000144452	ENST00000412081	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000411975	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000435803	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000453246	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA13	ENSG00000179869	ENST00000544596	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000263094	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000433129	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000435683	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000524383	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000525073	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000525939	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000529442	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCA7	ENSG00000064687	ENST00000530092	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000531478	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA7	ENSG00000064687	ENST00000532194	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB11	ENSG00000073734	ENST00000263817	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB11	ENSG00000073734	ENST00000439188	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000376887	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000412704	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000431522	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000536256	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000538287	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000302539	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000389817	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000524561	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000526921	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000527905	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000528374	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC8	ENSG00000006071	ENST00000529967	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC8	ENSG00000006071	ENST00000531137	retained_intron	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC8	ENSG00000006071	ENST00000531891	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCD1	ENSG00000101986	ENST00000218104	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCD1P2	ENSG00000215151	ENST00000429313	unprocessed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ABCD1P4	ENSG00000225293	ENST00000399687	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ABCD1P5	ENSG00000214330	ENST00000445663	unprocessed_pseudogene	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000339157	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000376542	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000450393	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000471287	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000481556	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD12	ENSG00000100997	ENST00000491682	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000576316	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD12B	ENSG00000131969	ENST00000337334	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD12B	ENSG00000131969	ENST00000353130	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD12B	ENSG00000131969	ENST00000382029	nonsense_mediated_decay	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD12B	ENSG00000131969	ENST00000395752	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD12B	ENSG00000131969	ENST00000553715	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABHD12B	ENSG00000131969	ENST00000554241	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ABHD12B	ENSG00000131969	ENST00000554566	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABHD12B	ENSG00000131969	ENST00000555292	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
