# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
ABCB1	ENSG00000085563	ENST00000265724	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000416177	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCB1	ENSG00000085563	ENST00000476862	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCB10	ENSG00000135776	ENST00000344517	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABCB10P1	ENSG00000259689	ENST00000558695	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABCC10	ENSG00000124574	ENST00000372515	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABCC10	ENSG00000124574	ENST00000372530	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABCC10	ENSG00000124574	ENST00000443426	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABCC10	ENSG00000124574	ENST00000502549	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABCC4	ENSG00000125257	ENST00000376887	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000412704	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ABHD17AP3	ENSG00000250536	ENST00000503096	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ABI3BP	ENSG00000154175	ENST00000284322	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000383691	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000466947	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000470336	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000471714	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000471901	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000478235	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000487012	retained_intron	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000495063	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000495591	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000528305	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000528490	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000533795	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABR	ENSG00000159842	ENST00000302538	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABR	ENSG00000159842	ENST00000544583	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574139	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574266	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABR	ENSG00000159842	ENST00000575934	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC005757.6	ENSG00000267044	ENST00000591432	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC005757.7	ENSG00000267037	ENST00000589594	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC005932.1	ENSG00000269019	ENST00000601106	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC006277.2	ENSG00000253392	ENST00000520090	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC006987.6	ENSG00000226975	ENST00000413610	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AC006987.7	ENSG00000231411	ENST00000446466	unprocessed_pseudogene	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
AC007277.3	ENSG00000213981	ENST00000423519	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC007682.1	ENSG00000231918	ENST00000440698	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC007879.1	ENSG00000224342	ENST00000435643	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC007879.2	ENSG00000234902	ENST00000417096	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC008440.5	ENSG00000232220	ENST00000413496	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC010086.5	ENSG00000236615	ENST00000428616	unprocessed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC010127.3	ENSG00000236107	ENST00000447809	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC011313.1	ENSG00000264749	ENST00000584487	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC011357.1	ENSG00000265875	ENST00000578667	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC012441.1	ENSG00000251564	ENST00000543904	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC016629.7	ENSG00000269032	ENST00000597341	transcribed_processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC018731.3	ENSG00000236885	ENST00000447078	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC019205.2	ENSG00000266346	ENST00000583935	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC022819.1	ENSG00000264771	ENST00000581052	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC027612.2	ENSG00000238320	ENST00000459161	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC027612.4	ENSG00000223703	ENST00000445234	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC046130.1	ENSG00000264446	ENST00000401300	miRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
AC067959.1	ENSG00000233005	ENST00000435237	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC069154.4	ENSG00000229326	ENST00000432914	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC069154.4	ENSG00000229326	ENST00000541202	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC074391.1	ENSG00000204929	ENST00000412986	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC074391.1	ENSG00000204929	ENST00000606978	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC079807.4	ENSG00000230773	ENST00000447571	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC084357.1	ENSG00000265796	ENST00000577842	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC090505.6	ENSG00000237222	ENST00000415410	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC090505.6	ENSG00000237222	ENST00000423318	lincRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AC090505.6	ENSG00000237222	ENST00000455796	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC090954.1	ENSG00000221424	ENST00000408497	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC090954.5	ENSG00000228874	ENST00000445502	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC091969.1	ENSG00000249484	ENST00000503048	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC091969.1	ENSG00000249484	ENST00000506723	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC091969.1	ENSG00000249484	ENST00000522300	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC092168.2	ENSG00000232034	ENST00000430586	sense_intronic	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC096558.1	ENSG00000228655	ENST00000442794	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC096558.1	ENSG00000228655	ENST00000549032	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC096558.1	ENSG00000228655	ENST00000550516	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC096559.1	ENSG00000224184	ENST00000438292	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC096753.1	ENSG00000263566	ENST00000577381	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AC108078.1	ENSG00000264696	ENST00000583573	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC109631.1	ENSG00000259192	ENST00000559695	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC109829.1	ENSG00000233438	ENST00000447166	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC126614.1	ENSG00000268367	ENST00000598001	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC128677.3	ENSG00000235147	ENST00000436016	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
AC131097.3	ENSG00000233806	ENST00000415434	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
AC131097.3	ENSG00000233806	ENST00000429947	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC131097.3	ENSG00000233806	ENST00000430555	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC131097.3	ENSG00000233806	ENST00000457686	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC131097.4	ENSG00000216921	ENST00000401641	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC131097.4	ENSG00000216921	ENST00000404031	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC131097.4	ENSG00000216921	ENST00000452112	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AC138710.1	ENSG00000216100	ENST00000401281	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ACACB	ENSG00000076555	ENST00000338432	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACACB	ENSG00000076555	ENST00000377848	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACACB	ENSG00000076555	ENST00000377854	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACACB	ENSG00000076555	ENST00000539864	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
